id,subject,treatment,fov,cell_type,roi_num,branch,spine,eventrate_pre,eventrate_post,amplitude_pre,amplitude_post,frequency_pre,frequency_post
2,Pons-2,saline,FOV2,PT,39,4,NaN,0.972801602,0.904388453,1.256465517,1.141052632,0.774236609,0.792591357
2,Pons-2,saline,FOV2,PT,47,5,NaN,1.308192892,1.00617387,1.781818182,1.515075377,0.734189888,0.664108126
2,Pons-2,saline,FOV2,PT,57,6,NaN,1.218087769,1.091273152,1.540084388,1.321212121,0.790922743,0.825963624
2,Pons-2,saline,FOV2,PT,65,7,NaN,1.131319873,0.842649758,1.403726708,1.199524941,0.805940264,0.702486234
2,Pons-2,saline,FOV2,PT,76,8,NaN,1.106290672,0.612381111,1.289883268,1.129230769,0.857667278,0.542299349
2,Pons-2,saline,FOV2,PT,88,9,NaN,0.952778241,0.942766561,1.674486804,1.448717949,0.568997163,0.650759219
2,Pons-2,saline,FOV2,PT,101,10,NaN,1.044551977,1.072918405,1.391111111,1.523696682,0.750876022,0.704154847
2,Pons-2,psilocybin,FOV1,PT,1,1,NaN,0.440513933,0.825963624,1.466666667,1.386554622,0.300350409,0.595694977
2,Pons-2,psilocybin,FOV1,PT,17,2,NaN,0.423827799,0.460537294,1.380434783,1.15,0.307024862,0.400467212
2,Pons-2,psilocybin,FOV1,PT,35,3,NaN,0.78424829,1.012848323,1.654929577,1.466183575,0.473886201,0.69080594
2,Pons-2,psilocybin,FOV1,PT,50,4,NaN,0.845986985,1.141331553,1.436260623,1.509933775,0.589020524,0.755881862
2,Pons-2,psilocybin,FOV1,PT,62,5,NaN,0.487235108,0.659102286,1.280701754,1.222910217,0.380443851,0.538962122
2,Pons-2,psilocybin,FOV1,PT,85,6,NaN,0.467211747,0.704154847,1.346153846,1.252225519,0.347071584,0.56232271
2,Pons-2,psilocybin,FOV1,PT,98,7,NaN,0.43884532,0.742532955,1.246445498,1.304985337,0.352077424,0.568997163
2,Pons-2,psilocybin,FOV1,PT,115,8,NaN,0.437176706,0.610712498,1.035573123,1.154574132,0.422159186,0.528950442
2,Pons-2,psilocybin,FOV1,PT,140,9,NaN,0.56732855,0.732521275,1.06918239,1.226256983,0.530619056,0.597363591
2,Pons-2,psilocybin,FOV1,PT,159,10,NaN,0.760887702,1.104622059,1.209549072,1.331991952,0.629067245,0.829300851
2,Pons-2,psilocybin,FOV2,PT,1,1,NaN,1.094610379,1.456699483,1.504587156,1.659695817,0.727515435,0.877690639
2,Pons-2,psilocybin,FOV2,PT,32,2,NaN,0.312030702,0.387118305,1.364963504,1.247311828,0.228600033,0.310362089
2,Pons-2,psilocybin,FOV2,PT,60,3,NaN,0.659102286,0.377106624,1.525096525,1.018018018,0.432170866,0.370432171
2,Pons-2,psilocybin,FOV2,PT,90,4,NaN,0.926080427,0.772567996,1.405063291,1.319088319,0.659102286,0.585683297
2,Pons-2,psilocybin,FOV2,PT,110,5,NaN,0.116802937,1.086267312,1.044776119,1.576271186,0.111797097,0.689137327
2,Pons-2,psilocybin,FOV2,PT,142,6,NaN,0.594026364,1.471717003,1.014245014,1.240506329,0.585683297,1.186384115
2,Pons-2,psilocybin,FOV2,PT,172,7,NaN,0.619055565,1.638578341,1.484,1.639398998,0.417153346,0.999499416
2,Pons-2,psilocybin,FOV2,PT,187,8,NaN,0.492240948,0.677457033,1.170634921,1.219219219,0.420490572,0.555648256
2,Pons-2,psilocybin,FOV2,PT,199,9,NaN,0.342065743,0.849324212,1.213017751,1.189252336,0.281995662,0.714166528
2,Pons-2,psilocybin,FOV2,PT,221,10,NaN,0.989487736,2.347739029,1.200404858,1.537704918,0.824295011,1.526781245
3,Pons2-1,saline,FOV1,PT,1,1,NaN,1.269814784,1.266477557,1.163608563,1.246305419,1.091273152,1.01618555
3,Pons2-1,saline,FOV1,PT,15,2,NaN,0.820957784,0.770899383,1.040169133,1.0523918,0.78925413,0.732521275
3,Pons2-1,saline,FOV1,PT,33,3,NaN,0.879359252,1.304855665,1.060362173,1.192073171,0.829300851,1.094610379
3,Pons2-1,saline,FOV1,PT,52,4,NaN,1.116302353,1.737026531,1.09492635,1.196551724,1.019522777,1.451693643
3,Pons2-1,saline,FOV1,PT,66,5,NaN,0.904388453,0.876022026,1.040307102,1.078028747,0.869347572,0.812614717
3,Pons2-1,saline,FOV1,PT,79,6,NaN,1.007842483,1.012848323,1.067137809,1.162835249,0.944435174,0.871016186
3,Pons2-1,saline,FOV1,PT,91,7,NaN,0.921074587,0.944435174,1.218543046,1.101167315,0.755881862,0.857667278
3,Pons2-1,saline,FOV1,PT,107,8,NaN,1.208076089,1.293175371,1.129485179,1.107142857,1.069581178,1.168029368
3,Pons2-1,saline,FOV1,PT,121,9,NaN,1.017854163,0.964458535,1.101083032,1.156,0.924411814,0.834306691
3,Pons2-1,saline,FOV1,PT,137,10,NaN,1.456699483,1.183046888,1.199175824,1.185618729,1.214750542,0.997830803
3,Pons2-1,saline,FOV2,PT,1,1,NaN,0.635741699,0.594026364,1.144144144,1.09202454,0.555648256,0.543967963
3,Pons2-1,saline,FOV2,PT,34,2,NaN,0.844318371,0.91273152,1.112087912,1.134854772,0.759219089,0.80427165
3,Pons2-1,saline,FOV2,PT,52,3,NaN,0.502252628,0.585683297,1.131578947,1.107255521,0.44385116,0.528950442
3,Pons2-1,saline,FOV2,PT,81,4,NaN,1.007842483,0.90271984,1.080500894,1.044401544,0.932754881,0.864341732
3,Pons2-1,saline,FOV2,PT,91,5,NaN,1.099616219,1.189721342,1.267307692,1.291666667,0.867678959,0.921074587
3,Pons2-1,saline,FOV2,PT,104,6,NaN,1.024528617,1.244785583,1.171755725,1.251677852,0.874353412,0.994493576
3,Pons2-1,saline,FOV2,PT,115,7,NaN,1.308192892,1.11963958,1.260450161,1.275665399,1.037877524,0.877690639
3,Pons2-1,saline,FOV2,PT,127,8,NaN,0.699149007,0.689137327,1.258258258,1.137741047,0.555648256,0.605706658
3,Pons2-1,saline,FOV2,PT,139,9,NaN,1.663607542,1.655264475,1.296488947,1.227722772,1.283163691,1.348239613
3,Pons2-1,saline,FOV2,PT,149,10,NaN,1.131319873,1.12965126,1.244036697,1.287072243,0.909394293,0.877690639
3,Pons2-1,psilocybin,FOV2,PT,1,1,NaN,0.520607375,0.423827799,1.087108014,1.036734694,0.478892041,0.408810279
3,Pons2-1,psilocybin,FOV2,PT,12,2,NaN,0.67078258,0.589020524,1.13559322,1.038235294,0.590689137,0.56732855
3,Pons2-1,psilocybin,FOV2,PT,34,3,NaN,1.096278992,0.936092107,1.13080895,1.104330709,0.969464375,0.847655598
3,Pons2-1,psilocybin,FOV2,PT,48,4,NaN,0.760887702,0.697480394,1.098795181,1.082901554,0.692474554,0.644084766
3,Pons2-1,psilocybin,FOV2,PT,62,5,NaN,0.886033706,0.699149007,1.06626506,1.071611253,0.830969464,0.652427832
3,Pons2-1,psilocybin,FOV2,PT,76,6,NaN,1.184715501,0.999499416,1.0906298,1.087114338,1.086267312,0.919405974
3,Pons2-1,psilocybin,FOV2,PT,86,7,NaN,0.951109628,0.91273152,1.11328125,1.074656189,0.854330052,0.849324212
3,Pons2-1,psilocybin,FOV2,PT,97,8,NaN,0.475554814,0.609043885,1.040145985,1.051873199,0.457200067,0.579008844
3,Pons2-1,psilocybin,FOV2,PT,112,9,NaN,0.755881862,0.839312531,1.055944056,1.084051724,0.715835141,0.774236609
3,Pons2-1,psilocybin,FOV2,PT,122,10,NaN,0.737527115,0.513932922,1.07804878,1.051194539,0.684131487,0.488903721
3,Pons2-1,psilocybin,FOV1,PT,1,1,NaN,1.83046888,1.36659436,1.290588235,1.3104,1.418321375,1.042883364
3,Pons2-1,psilocybin,FOV1,PT,22,2,NaN,0.926080427,0.724178208,1.190987124,1.093198992,0.777573836,0.662439513
3,Pons2-1,psilocybin,FOV1,PT,45,3,NaN,1.107959286,0.959452695,1.25047081,1.17107943,0.886033706,0.819289171
3,Pons2-1,psilocybin,FOV1,PT,77,4,NaN,1.032871684,1.181378275,1.135779817,1.164473684,0.909394293,1.014516936
3,Pons2-1,psilocybin,FOV1,PT,95,5,NaN,1.101284832,0.882696479,1.219963031,1.104384134,0.90271984,0.79926581
3,Pons2-1,psilocybin,FOV1,PT,110,6,NaN,1.329884866,1.11963958,1.27929374,1.127731092,1.039546137,0.992824962
3,Pons2-1,psilocybin,FOV1,PT,125,7,NaN,0.90271984,0.932754881,1.221218962,1.150205761,0.739195728,0.810946104
3,Pons2-1,psilocybin,FOV1,PT,137,8,NaN,0.842649758,1.057900884,1.202380952,1.243137255,0.700817621,0.850992825
3,Pons2-1,psilocybin,FOV1,PT,160,9,NaN,1.082930085,1.321541799,1.14059754,1.209160305,0.949441015,1.092941765
3,Pons2-1,psilocybin,FOV1,PT,175,10,NaN,1.156349074,1.022860003,1.411405295,1.35619469,0.819289171,0.754213249
