mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
C57 1-1,f,saline,c57,cell14,cell14_2,cell14_2,660,FOV47-2,0.565723417,0.508360497,0.597185069,0.604566898
C57 844,f,saline,c57,cell2,cell2_1,NA,640,FOV7-1,0.340252799,0.288624921,0.289568621,0.328718806
C57 844,f,saline,c57,cell3,cell3_1,NA,660,FOV9-1,0.449232486,0.451011845,0.478216749,0.44604293
C57 844,f,saline,c57,NA,NA,NA,NA,FOV12-1,0.351330577,0.37893888,0.335789071,0.305418972
C57 3163,f,saline,c57,cell1,cell1_1,NA,500,FOV4-1,0.394873638,0.50175223,0.511543549,0.454322682
C57 3163,f,saline,c57,cell2,cell2_1,cell2_1,NA,FOV7-1,0.441358661,0.462167009,0.444167087,0.417140778
C57 3163,f,saline,c57,cell2,cell2_2,cell2_2,NA,FOV7-2,0.368220373,0.293269322,0.375564285,0.415239282
C57 3163,f,saline,c57,cell2,cell2_3,cell2_3,NA,FOV8-1,0.374583166,0.480803379,0.382196307,0.454309936
C57 3163,f,saline,c57,cell2,cell2_4,cell2_4,NA,FOV9-1,0.504461401,0.518679672,0.508615954,0.564577185
C57 JAX,m,saline,c57,cell2,cell2_1,NA,490,FOV1-1,0.410551277,0.503207388,0.414276178,0.502097933
C57 JAX,m,saline,c57,cell4,cell4_1,NA,560,FOV2-1,0.385120856,0.459991576,0.39088419,0.365395577
C57 JAX,m,saline,c57,cell3,cell3_1,cell3_1,550,FOV5-1,0.475111445,0.484318885,0.445073906,0.413380293
C57 JAX,m,saline,c57,cell1,cell1_1,NA,475,FOV7-1,0.411805276,0.44289404,0.428270416,0.33855498
C57 JAX,m,saline,c57,cell5,cell5_1,cell5_1,484,FOV9-1,0.436269719,0.497139892,0.408630271,0.480867408
C57 JAX,m,saline,c57,NA,NA,NA,NA,FOV10-1,0.57332546,0.535723693,0.538653958,0.559024961
C57 JAX,m,saline,c57,cell5,cell5_2,cell5_2,484,FOV11-1,0.525148107,0.401002506,0.430275275,0.41189215
C57 JAX,m,saline,c57,cell6,cell6_1,cell6_1,530,FOV14-1,0.441401715,0.477568033,0.372304891,0.399987859
C57 JAX,m,saline,c57,cell6,cell6_2,cell6_2,530,FOV17-1,0.532172821,0.431881758,0.404702645,0.485078088
C57 JAX,m,saline,c57,cell6,cell6_3,cell6_3,530,FOV18-1,0.562934691,0.505276515,0.537489113,0.537317911
C57 JAX,m,saline,c57,cell3,cell3_2,cell3_2,550,FOV19-1,0.5459377,0.532464598,0.482713013,0.462589465
C57 JAX,m,saline,c57,cell5,cell5_3,cell5_3,484,FOV22-1,0.478359236,0.467136025,0.392524758,0.358039385
C57 JAX,m,saline,c57,cell6,cell6_4,cell6_4,530,FOV24-1,0.418651774,0.418834133,0.368960603,0.35033709
C57 JAX,m,saline,c57,cell6,cell6_5,cell6_5,530,FOV26-1,0.369307585,0.368794117,0.396007531,0.360872011
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV16-1,0.60537818,0.642789191,0.688618175,0.625152381
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV17-1,0.521114123,0.596183531,0.440116523,0.477596201
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV23-1,0.435956532,0.49812208,0.482194951,0.495916131
C57 842,m,saline,c57,NA,NA,NA,NA,FOV2-1,0.650897588,0.793839803,0.851079041,0.922037535
C57 842,m,saline,c57,NA,NA,NA,NA,FOV3-1,0.625746985,0.574430051,0.568222175,0.615201174
