mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
C57 JAX,m,saline,c57,cell2,cell2_1,NA,490,FOV1-1,0,0.22568706,0.009072924,0.222984704
C57 JAX,m,saline,c57,cell4,cell4_1,NA,560,FOV2-1,0,0.194408375,0.014965001,-0.051218412
C57 JAX,m,saline,c57,cell3,cell3_1,cell3_1,550,FOV5-1,0,0.019379536,-0.063222091,-0.129929836
C57 JAX,m,saline,c57,cell1,cell1_1,NA,475,FOV7-1,0,0.075493846,0.039982829,-0.17787605
C57 JAX,m,saline,c57,cell5,cell5_1,cell5_1,484,FOV9-1,0,0.139524175,-0.063354037,0.102225038
C57 JAX,m,saline,c57,NA,NA,NA,NA,FOV10-1,0,-0.065585378,-0.060474381,-0.024943073
C57 JAX,m,saline,c57,cell5,cell5_2,cell5_2,484,FOV11-1,0,-0.23640112,-0.180659191,-0.215664792
C57 JAX,m,saline,c57,cell6,cell6_1,cell6_1,530,FOV14-1,0,0.081935153,-0.156539547,-0.093823505
C57 JAX,m,saline,c57,cell6,cell6_2,cell6_2,530,FOV17-1,0,-0.188455815,-0.239527783,-0.088495185
C57 JAX,m,saline,c57,cell6,cell6_3,cell6_3,530,FOV18-1,0,-0.102424273,-0.045201652,-0.045505776
C57 JAX,m,saline,c57,cell3,cell3_2,cell3_2,550,FOV19-1,0,-0.024678827,-0.115809345,-0.152669866
C57 JAX,m,saline,c57,cell5,cell5_3,cell5_3,484,FOV22-1,0,-0.023461888,-0.179435184,-0.251526138
C57 JAX,m,saline,c57,cell6,cell6_4,cell6_4,530,FOV24-1,0,0.000435587,-0.118693324,-0.16317782
C57 JAX,m,saline,c57,cell6,cell6_5,cell6_5,530,FOV26-1,0,-0.001390354,0.072297313,-0.022841594
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV16-1,0,0.061797753,0.137500818,0.032664212
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV17-1,0,0.144055601,-0.155431596,-0.083509389
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV23-1,0,0.142595747,0.106061994,0.137535727
C57 842,m,saline,c57,NA,NA,NA,NA,FOV2-1,0,0.219607843,0.307546773,0.416563147
C57 842,m,saline,c57,NA,NA,NA,NA,FOV3-1,0,-0.082009081,-0.091929825,-0.016853157
